Название,Описание,Навыки,Опыт работы,Премиум-вакансия,Компания,Оклад,Название региона,Дата публикации вакансии
Middle front-end developer,Ключевые требования: Мы ожидаем:Опыт коммерческой разработки от 2-х лет;Любовь к верстке;Опыт с Vue.js или React; Будет плюсом:Верстка по Яндекс БЭМ;Vuetify;Figma;Задачи на Leetcode; Проводим одно техническое собеседование.При успехе даем тестовое задание на верстку одной страницы (несколько часов).,"HTML5, Pixel Perfect, JS, JavaScript, Figma, vue.js, react.js, Vuetify, Leetcode",От 1 года до 3 лет,Нет,Солюшн Про Групп,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:39:40 31/05/2022
Системный администратор (VK Cloud Solutions),"Задачи:  обеспечивать 24x7 эксплуатацию и поддержку сервисов VK Cloud Solutions; постоянно повышать уровень автоматизации твоей работы; увеличивать SLA сервиса; решать сложные проблемы клиентов, связанные с инфраструктурой Облака, на уровне второй линии технической поддержки; улучшать масштабируемость и отказоустойчивость сервиса; тесно взаимодействовать со смежными командами: разработки, сетевых инженеров, техподдержки первой линии, эксплуатации.  Требования:  опыт работы с серверными *nix системами (Debian, Ubuntu, CentOS, FreeBSD); опыт работы с серверным оборудованием; понимание принципов работы сетевых протоколов и сервисов (OSI, TCP/IP, DNS); знание базовых отличий между различными видами хостинга (dedicated, cloud, shared, CDN); навыки диагностики аппаратных и сетевых сбоев.  Будет плюсом:  опыт работы с системами виртуализации (OpenStack, Virtualbox, eSXi); умение программировать на любом алгоритмическом языке (а если язык — Python, то это будет большим плюсом); понимание функционирования облачных и интернет-сервисов, их масштабирования и построения отказоустойчивых систем; понимание работы сетевых протоколов TCP/IP, DNS, HTTP; опыт работы с Kubernetes.","Python, Linux, TCP/IP",От 1 года до 3 лет,Нет,VK,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:40:46 28/06/2022
Системный аналитик (СберИнвестор),"Если тебе интересно, как работают инвестиции, как реализован изнутри механизм, позволяющий зарабатывать и приумножать свои накопления, тогда будем рады видеть тебя в нашей дружной команде профессионалов своего дела. Мы разрабатываем абсолютно новое бэкенд приложение &quot;СберИнвестор&quot; для людей, которые уже умеют или только хотят научиться зарабатывать, инвестируя на рынке ценных бумаг. Под капот мы взяли всё лучшее от микросервисной архитектуры в купе с облачной структурой. Обязанности  Анализировать бизнес-требования и CJM(Customer Journey Map), UI-макеты предоставленные заказчиком; анализировать архитектурные решения; общаться со смежниками, бизнес-аналитиками, архитекторами; писать системные требования; описывать изменения структуры БД; согласовывать требования со смежными командами.  Требования  Опыт написания системных требований от 2-х лет; умение анализировать архитектурные решения; умение строить sequence-диаграммы(plantUML); умение анализировать структуру БД; умение селектить из БД нужные данные.  Условия  Работа в крупной компании; команда профессионалов, готовых поддержать ваши инициативы; мощное железо, дополнительные мониторы и всё, что нужно для продуктивной работы; возможность работы с новыми технологиями; ДМС, страхование от несчастных случаев и тяжелых заболеваний; материальная помощь и социальная поддержка, корпоративная пенсионная программа; прозрачная система бонусов и премий, достойная зарплата — размер обсудим на собеседовании; льготные условия кредитования; доступ к различным курсам обучения по развитию как hard, так и soft skill&#39;ов; бесплатный спортзал; красивый и комфортный офис (БЦ «Президент Плаза»).","Техническое обслуживание, Настройка ПК, Ремонт ПК, Настройка сетевых подключений, Настройка ПО",От 3 до 6 лет,Нет,СБЕР,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:42:07 31/05/2022
Руководитель проекта,"Вакансия открыта в ООО &quot;Норникель Спутник&quot; (дочернее общество ПАО &quot;ГМК &quot;Норильский никель&quot;) в Управление по цифровым технологиям. НАШИ ЗНАНИЯ - НАШИ ВОЗМОЖНОСТИ  &quot;Норникель Спутник&quot; СЕГОДНЯ: Уникальные и интересные задачи: У нас можно участвовать в масштабных и уникальных проектах совместно с коллегами по всей России и видеть результаты своей ежедневной работы. Поддержка коллег: У нас можно развиваться вместе с опытной командой, готовой делиться своей экспертизой и поддерживать вас при решении сложных задач. Разносторонний опыт и развитие: У нас можно совершенствовать свои навыки и знания, которые сделают вас конкурентоспособными на рынке труда, а также иметь возможности для прозрачного карьерного роста, как вертикального, так и горизонтального. Забота о сотрудниках: У нас можно активно участвовать в корпоративной жизни, присоединяться к волонтерским программам Группы компаний «Норникель», всегда быть в форме, участвуя в спортивных мероприятиях вместе с коллегами. Обязанности:   Управление проектом, планирование, контроль и регулирование исполнения проекта на всех стадиях жизненного цикла. Взаимодействие с функциональным заказчиком по проекту, анализ и актуализация требований, определение методов реализации проекта. Обеспечение выполнения утверждённых контрольных показателей проекта, определённых в плане-графике проекта, бюджете проекта. Организация и контроль выполняемых проектной командой работ по проекту. Осуществление передачу продукта проекту на поддержку. Управление запросами на изменение в рамках проекта. Участие в оценке результатов работы каждого участника проекта.  Требования :   Опыт управления проектами внедрения и поддержки информационных систем от 2-х лет; Опыт применения методологий управления проектами от 2-х лет; Опыт внедрения систем машинного зрения/видеоаналитики/хранилищ данных/систем учёта.  Условия:  Официальное оформление в соответствии с ТК РФ; Возможна удаленная работа; Срочный трудовой договор; Рабочий день с 9:00 до 18:00, пятница с 09:00 - 16:45, ненормированный; Годовой бонус; ДМС.","Техническое обслуживание, Настройка ПК, Ремонт ПК, Настройка сетевых подключений, Настройка ПО",От 3 до 6 лет,Нет,Норникель,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:42:42 31/05/2022
NLP Researcher,"Responsibilities:- conduct cutting-edge research in the field of natural language processing, searching/ranking algorithms, speech synthesis, acoustic feature analysis, and deep learning- develop AI-enabled products and services with partner teams in the company- collaborate with world-class organizations in academia Qualifications preferred:- possess/pursue a PhD and Masters Degree students in computer science, statistics, applied mathematics, or have equivalent research experiences- demonstrated the ability to generate new ideas and innovate- information retrieval, speech recognition and synthesis, deep learning, and related fields- have strong programming skills, experienced in one or more programming languages including but not limited to: Python, C/C++, Java- have experience with one or more deep learning framework, like PyTorch, Tensorflow, MindSporeQualifications that will be considered as a plus:- have established themselves in the research communities and/or in the industry- have strong research track record, e.g., publications in top-tier AI conferences- result driven and good communication skills, able to work efficiently in a multi-cultural, multi-site, multi-language and changing environment What we offer:- Work with cutting-edge technologies &amp; challenging tasks in highly qualified international team- Opportunity to collaborate with world academic organizations, participate in top international conferences (we also conduct own meetups and conferences, and develop professional communities)- Opportunity to contribute to real products used by millions of people- Employment according to the Labor Code of the Russian Federation- Competitive compensation- Medical insurance with dental coverage","Python, C/C++, Java, PyTorch, Tensorflow",От 3 до 6 лет,Нет,HUAWEI,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:43:04 31/05/2022
Маркетолог,"Обязанности: ​​​​​​Генерация творческих идей и их последующая реализация.Заниматься анализом рекламного рынка. Непосредственное участие в разработке творческих идей, составление плана организаций мероприятий и рекламных акций, контроль хода выполнения художественных проектов. Требования:  Организация концертов, вечеринок, подбор соответствующего репертуара в целях продвижения заведения Разработка концепции мероприятий, взаимодействие с подрядчиками и исполнителями. Привлечение новых гостей.","Работа в команде, Организаторские навыки, Организация мероприятий, Креативность, Разработка концепции",Нет опыта,Нет,Байкенжеев,300 000 - 500 000 (Тенге) (Без вычета налогов),Шымкент,17:43:54 31/05/2022
Junior+/ Middle Python разработчик,"CiPlay разрабатывает web-сервисы для международного рынок различной направленности, включающие в себя интеграции сторонних продуктов, платежных систем и пр. а. Мы хотим развивать свои технологии и потому ищем разработчиков. Команда — распределенная, все работают примерно в одно время: когда в Москве день. На данный момент мы набираем в команду удаленных программистов для ускорения реализации задач. Мы ищем человека близкого нам по духу, который погрузится с головой в наши проекты. Важными аспектами эффективной работы в нашей команде являются: взаимопонимание и умение проявлять эмпатию, умение достигать результат поставленной задачи тем способом, который считаешь нужным, при этом, наиболее эффективным, переводить некоторые запросы заказчиков с человеческого на язык разработки:) Программирование у нас не превратится в рутину. Мы запросто ставим сложные задачи и ожидаем, что для их решения вы самостоятельно разберетесь в той области знаний, о которой раньше даже и не слышали. Творческий подход, нестандартные решения приветствуются! При необходимости и сможешь влиять на все продукты компании.   Обязанности: разрабатывать web-сервисы на Python;интеграции сторонних API (платежки и пр.);настройка серверов, работа с доменами;работа с БД; разработка фич для бэк офиса; взаимодействие с веб-разработчиками;участие в полном цикле разработки - проектирование, программирование, тестирование, поддержка; контролирование качества кода; настройка СI/CD. Требования: уверенное знание Python 3, FastAPI, Django (DRF); опыт коммерческой разработки в web; классические алгоритмы и структуры данных; знание HTML/CSS/JS на базовом уровне; знание сетевых протоколов HTTP, WebSocket;понимание иерархических структур и БД; умение разбираться в чужом коде; опыт работы с OC Linux; практический опыт автоматизации развертывания приложений; коммуникативные навыки; ответственность, активность и умение работать в команде; желание обучаться и расти;опыт работы с Docker; опыт работы с системами контроля версий Git; английский язык на техническом уровне. Мы оценим, если вы: имеете опыт разработки на Python: Flask, SQLAlchemy, Celery, Tornado; знакомы со Scrapy и Falcon; умеете работать с Redis и RabbitMQ; знаете Docker Compose и Kubernetes; понимаете Clean Architecture и DDD; знаете регулярные выражения; умеете писать тесты на pytest; знание стандартной библиотеки языка;знание SQL, опыт работы с PostgreSQL, продвинутое использование ORM; опыт разработки сложных проектов. Ключевые навыки: Python3FastApi Django Framework Django REST Framework celery redis PostgreSQL Nginx uWSGI/gunicorn Docker docker-compose   Условия: график работы: 5/2 с гибким рабочим днем;удаленная работа; высокий уровень свободы — есть возможность проверять свои гипотезы, экспериментировать и реально влиять на конечный продукт; дружный коллектив​​ и адекватное руководство;","Python, Django Framework, Git, Linux, PostgreSQL, FastAPI",От 1 года до 3 лет,Нет,CiPlay,40 000 - 80 000 (Рубли) (С вычетом налогов),Санкт-Петербург,17:44:23 31/05/2022
"Продюсер контент-проектов (IT, digital)","Ты цепко хватаешься за каждую деталь, фонтанируешь креативом и виртуозно выстраиваешь работу по каждому проекту, тогда мы ждём тебя в дружной команде СберМаркета. Задачи  про такие разные Каналы коммуникации   Собрать, воплотить в жизнь и усилить стратегию развития и продвижения наших каналов и соцсестей (от YouTube до Telegram-канала и всего что придумаешь!); Следить за трендами контент-маркетинга на российском и зарубежном рынках, среди конкурентов и внедрять новое;   про любимый Блог на Хабре   Бережно раститить и чутко драйвить наших внутренних авторов; Готовить статьи и реализовывать план публикаций;   про огненные Контент-проекты   Генерировать/ подхватывать и доводить до реализации идеи контентных проектов (например, квизы, спецпроекты или подкасты); Собирать аналитику по реализованным проектам, делать выводы для улучшения, искать точки роста; Наши любимые спецпроекты: подкаст “Для tech и этих”, игра по мотивам Рика и Морти   про чуткую Редактуру   Собирать новости команд и отправлять раз в две недели долгожданный внутренний inTech Digest; Писать и редактировать тексты: описание вакансий, тезисы доклада, копирайт для лендингов и т.д.  Для этой роли очень важно:  Иметь опыт управления проектами по созданию контента; Ставить цель и отвечать за результат; Знать разницу между “делать” и “сделать” (и всегда идти ко второму!); Быть проактивным/-ой в поиске идей, тем и авторов; Следить за трендами и выбирать лучшие практики медиа и контент-маркетинга; Большой плюс - иметь опыт написания и редактуры текстов про технологии; Интересоваться темами программирования / аналитики / продакт-менеджмента /дизайна; Гуглить незнакомые термины и быстро погружаться в новую область (в команде есть, с кем проконсультироваться); Иметь опыт работы в IT и не понаслышке знать про этот мир; Готовность учиться, если чего-то не умеешь.  Что интересного у нас есть:  можешь выбрать свой соцпакет — ДМС, спорт, промокоды на заказ продуктов или билеты в отпуск; мы работаем удаленно. В Москве есть большой и красивый офис, поэтому если ты из этого города или будешь проездом — welcome; предоставляем технику для работы на твой выбор; помогаем интеллектуально и физически развиваться (электронная библиотека, книжный клуб, футбол); мы уделяем большое внимание обучению сотрудников, поэтому в нашей knowledge base ты найдёшь много интересных курсов, книг и записей конференций.  А еще:  мы сами участвуем в конференциях, как спикеры; проводим внутренние митапы и дискуссионные клубы; не боимся экспериментировать с новыми решениями и технологиями; заботимся о сотрудниках: в компании есть специалист по здоровью и психологи для разговоров по душам :)","Копирайтинг, Написание статей, Управление проектами, Грамотность, Редактирование текстов, Коммуникативная стратегия, Написание текстов",От 3 до 6 лет,Нет,СберМаркет,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:44:36 31/05/2022
Администратор баз данных (PostgreSQL),"Кто мы Мы — банк, который входит в тройку крупнейших банков России, и золотой работодатель по версии Forbes. Сейчас мы проходим этап технологической трансформации. Обязанности:  Поддержка и сопровождение СУБД Postgres в команде DBA. Организация отказоустойчивости. Развёртывание сред с использованием ansible. Тестирование и применение лучших практик самостоятельно и совместно с командой. Регулярный апгрейд СУБД на новые версии. Предоставление технических рекомендаций.  Необходимые навыки:  Администрирование СУБД PostgreSQL. Администрирование Linux. Знание SQL , понимание методов оптимизации запросов. Написание скриптов SQL, bash. Дополнительным преимуществом будет знание Patroni , Wal-g. Опыт работы с СУБД Oracle, участие в проектах миграции СУБД.  Почему мы? У нас круто!  По-настоящему живая и увлечённая команда; Достойный уровень вознаграждения; ДМС со стоматологией с первого дня работы; Премии и бонус к отпуску; Внутреннее и внешнее обучение; Привлекательный соц. пакет, корпоративные программы, льготы для сотрудников.","PostgreSQL, SQL, Linux, Bash, ORACLE",От 3 до 6 лет,Нет,Газпромбанк,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,10:35:42 08/06/2022
Инженер по ремонту и обслуживанию оборудования,"Красцветмет - один из крупнейших в мире производителей восьми драгоценных металлов, а также изделий из них. В нашей команде более 2700 человек. Команда состоит из профессионалов разных областей — металлургов, ученых, ювелиров, технологов, инженеров, аналитиков, программистов и многих других. Основное производство расположено в Красноярске, частью команда распределена по всей России – мы эффективно работаем удаленно и в гибридном формате. Наши принципы работы – постоянное развитие, сотрудничество, внедрение изменений и ответственность за результат Что нужно делать  Обеспечить безаварийную и надежную работу технологического оборудования Ювелирного дивизиона и Дивизиона промышленных решений; Выполнять своевременно и качественно техническое обслуживание и ремонт оборудования; Организовать работу ремонтных служб подрядных организаций; Разработать график проведения планово-предупредительного ремонта; Разработать ремонтно-эксплуатационную документацию на оборудование; Осуществлять технический надзор за состоянием оборудования; Участвовать в приемке в эксплуатацию нового, модернизированного оборудования; Анализировать причин отклонений и неисправностей, разработка корректирующих мер: Контролировать наличие запасных частей, поддержание аварийного запаса ЗИП на складах; Работать по заявкам в SAP.    Что нужно знать и уметь  Иметь высшее техническое образование; Иметь опыт работы в аналогичном направлении не менее 5 лет;  Иметь знания в области ремонта и обслуживания вентиляционных систем и климатического оборудования;  Знать принципиальные схемы узлов теплоснабжения; Иметь знания в области ремонта, содержания и эксплуатации подъемных сооружений; Иметь опыт в области ремонта и наладки сложного инструментального оборудования; Иметь опыт в области ремонта, содержания и эксплуатации компрессорного оборудования; Иметь опыт в области содержания и обслуживания газового хозяйства.    Что мы предлагаем:  атмосферу открытого диалога, сплоченную команду и поддержку руководством инициатив; трудоустройство согласно трудовому кодексу; зарплату по результатам собеседования, годовую премию за высокие результаты работы; комфортный офис с благоустроенной территорией, сотрудников, работающих из дома, мы обеспечиваем техникой и офисной мебелью;   обучение в корпоративном университете и возможность участия во внешних профессиональных мероприятиях;   заботу о здоровье: медицинское страхование, услуги врачей в собственной поликлинике на территории компании в Красноярске; корпоративные льготы: жилищные займы, компенсацию затрат на питание, затрат на спорт, санаторно-курортный отдых с детьми и детские лагеря, скидки на ювелирную продукцию компании; изучение английского со SkyEng; поддержку сотрудников в сложной жизненной ситуации; рабочее место: г. Красноярск, Транспортный проезд д.1 (правый берег), или удаленная работа для кандидатов из других регионов.  [КВР1]2700","Техническая эксплуатация, Техническое обслуживание, Ремонтные работы, Техническая документация, Энергетика",От 3 до 6 лет,Нет,Красцветмет,70 000 - 150 000 (Рубли) (С вычетом налогов),Красноярск,17:45:24 31/05/2022
Junior+/Middle Frontend-разработчик (React),"Описание: CiPlay разрабатывает web-сервисы для международного рынка iGaming, включающие в себя интеграции сторонних продуктов, платежных систем и пр. Сейчас мы на стадии запущенного MVP и активно наполняем продукт новыми фичами и решениями.Ищем заинтересованного человека, разбирающегося в frontend части Web-приложений на React, который готов работать в молодой компании, проявлять инициативу и расти самому вместе с проектами, а не просто выполнять задачи от team lead разработчика.Мы набираем в команду удаленных программистов для ускорения реализации задач. Нужно разобраться в продукте, понять, как протекают бизнес процессы и совершенствовать продукт. Обязанности:  командная фронтенд разработка, программирование и верстка интерфейсов; технологический стек: React, Redux, Webpack, HTML+CSS, SCSS, Rest API, Git; реализация новых продуктов и фич.  Требования:  опыт в коммерческой разработке от 1 года; базовые знания функционального программирования; знание React на функциональных и классовых компонентах; умение работать с Redux; способность к самообучению; умение верстать; умение работать в команде; продуктовая вовлеченность, желание развивать продукт; умение реализовывать БЭМ на верстке; базовые знания Git.  Мы оценим, если Вы:   имеете опыт разработки TypeScript;   умеете настраивать Webpack;   умеете работать с Figma.   Условия:   график работы: 5/2;   удаленная работа;   желание экспериментировать и реально влиять на конечный продукт;   дружный коллектив​​ и адекватное руководство;","React, Git, JavaScript, TypeScript, Redux",От 1 года до 3 лет,Нет,CiPlay,40 000 - 100 000 (Рубли) (С вычетом налогов),Санкт-Петербург,17:45:26 31/05/2022
Senior game designer,"Привет! Я Гегам, директор продукта в Kindda, и я ищу в свою команду сильного и самостоятельного гейм-дизайнера. Здесь немного про Kindda: Kindda исполнилось 6 лет в 2022 году. Мы – мультинациональная команда, наши сотрудники распределены по всему миру, а головные офисы находятся в Сингапуре и Ереване. Мы занимаемся разработкой продуктов в области социальных медиа, финтех и e-commerce, а именно: Kindda— платформа для создания и просмотра коротких видео и фото. Мобильное приложение Kindda использует машинное обучение для анализа интересов и взаимодействий пользователей для отображения персонализированной ленты рекомендаций каждому пользователю. Приложение оснащено функциям профессионального фото/видео редактора для создания уникального контента. Пользователи приложения могут накладывать музыкальные треки в фоновом режиме, ускорять и замедлять видео, применять фильтры, добавлять текст и стикеры на свои видео и фото. Moons— ваш персональный спутник в мире финансов. Moons — электронный кошелек, который предоставляет широкий спектр возможностей для управления финансами. Все, что нужно, в одном приложении. Сейчас мы начинаем развивать новые для себя направления мобильного гейминга и NFT-продуктов. Нашим следующим проектом будет Match3-игра и для ее разработки мы ищем гейм-дизайнера. Что ты будешь делать в рабочее время?   Создавать, оценивать и настраивать новые и уже существующие match-3 уровни   Анализировать фидбэк и метрики и корректировать дизайн уровней   Проектировать, анализировать и корректировать кривую сложности и ввод механик на уровнях   Работать над созданием новых механик match-3 и поддержкой уже существующих механик вместе с командой разработчиков и гейм-дизайнеров   Определять продуктовую стратегию и взаимодействовать с продюсерским центром   Проверять гипотезы и анализировать игровую статистику   Настраивать баланс игры для улучшения геймплея и монетизации   Поэтому, скорее всего, ты:   Работал в разработке мобильных игр (в приоритете match3) в роли гейм-дизайнера 3 года и больше   Хорошо понимаешь основные мобильные игровые механики   Умеешь писать структурированные и понятные дизайн-документы   Можешь разобрать взятую игру на составные части, увидеть проблемные элементы игры, встроить в неё новую логику и способность прогнозировать эффект от изменений в игре   Умеешь работать с графическими редакторами и программами   Работал с BI-системами   Почему тебе будет интересно у нас?   Мы не страдаем необъяснимой любовью к регламентам и готовы предложить сотруднику свободу в выборе решений. Чтобы что-то изменить, не нужно ждать годами и бороться с бюрократией   Мы постоянно пробуем новые технологии и методы   Мы многому научим и хотим многому научиться у тебя   Мы хотим очень простого — чтобы задачи выполнялись в срок, пользователи были довольны, а команда счастлива. Мы очень хотим, чтобы ты принимал людей такими, какие они есть, был пунктуальным и настойчивым, дотошным и внимательным. Что мы тебе хотим предложить?   Фиксированный оклад (обсуждаем твои ожидания на собеседовании) и любой вариант сотрудничества, на твой выбор   Удаленную работу из любой точки мира или комфортное рабочее место в одном из наших офисов (Кстати, у нас есть прекрасный офис в Ереване, и мы помогаем с ВНЖ. Ну так, между прочим)   Гибкий график работы и плавающее начало рабочего дня   ДМС после успешного прохождения испытательного срока   Оплату внешнего обучения   Мы хотим, чтобы продукты, которые мы разрабатываем, были полезными и лидировали на мировом рынке. Да, это амбициозно, и мы это сделаем. Если тебе близки такие планы, мы будем рады помочь тебе адаптироваться и внедриться в нашу отличную команду! До связи!","Управление персоналом, Работа в команде, Креативность, game design, Удаленная работа, Графические редакторы, Управление проектами, Обучение персонала, Разработка компьютерных Игр, Gamedev",От 3 до 6 лет,Нет,KINDDA,70 000 - 150 000 (Рубли) (С вычетом налогов),Нижний Новгород,11:15:59 07/06/2022
Инженер по автоматизации,"Обязанности:  Запуск в работу и ПГР для нового производственного оборудования; Выполнение работ по запуску в работу и обслуживанию робототехнических комплексов (РТК) предназначенных для упаковки и паллетизации продукта; Постоянный мониторинг работы комплексов и устранение причин выхода оборудования из штатного режима; Организация и проведение профилактических осмотров оборудования. Выявление причин износа узлов и деталей, датчиков и модулей автоматики, принятие мер по их предупреждению и устранению; Проведение инструментальной и программной диагностики РТК и оборудования; Анализ инцидентов и отклонений от штатного режима работы; Наладка оборудования в соответствии с эксплуатационной документацией; Разработка инструкций по работе и обслуживанию оборудования. Обучение персонала работе с РТК; Подача заявок на приобретение запчастей. Контроль наличия и расхода запчастей на складе.  Требования:  Высшее или средне-специальное техническое образование; Продвинутый пользователь ПК; Понимание электротехники, пневматики и механики в объеме занимаемой должности; Опыт в сфере автоматизации технологических процессов приветствуется; Опыт работы с роботизированными комплексами. Навыки в программировании промышленных роботов приветствуются; Навыки работы с современными ПЛК; Понимание принципов автоматизированного управления технологическими процессами производства; Знание английского языка на уровне, позволяющем работать с технической документацией; Умение быстро реагировать в нестандартных ситуациях.  Условия:  Заработная плата состоит из окладной и премиальной частей, совокупный доход обсуждается при собеседовании с успешными кандидатами; Трудоустройство в соответствии с ТК РФ; График работы: 5/2 на испытательном сроке: 3 месяца, далее 2/2/4; Корпоративная мобильная связь; Обучение за счет работодателя в Корпоративном Университете Перспектива профессионального и карьерного роста.","Английский язык, Автоматизация технологических процессов, Автоматизация производства, Обучение персонала, Расстановка приоритетов",От 3 до 6 лет,Нет,ОСК,70 000 - 150 000 (Рубли) (С вычетом налогов),Владимир,15:43:08 14/06/2022
